PMID,Journal ISSN,Publication Year,Journal Title,Journal ISO,Journal Country,Journal Impact Factor,Impact Factor Without Journal Self Cites,Five Year Impact Factor,Article Title,Paper Country,Times Cited,Grants,Keywords,WOS Research Areas,WOS Categories,Mesh Headings,Number of Authors,Number of Student Authors,Percentage of Students,Is 1st Author a Student?,Solely by students?
29240454,1532-8015,2018,Teaching and learning in medicine,Teach Learn Med,United States,1.052,1.000,1.248,"A Comparison of the Expectations and Experiences of Medical Students From High-, Middle-, and Low-Income Countries Participating in Global Health Clinical Electives.",United States,0,-,"Global health, global health education, institutional partnerships, international medical education, undergraduate medical education",Education & Educational Research; Health Care Sciences & Services,"Education, Scientific Disciplines; Health Care Sciences & Services",-,6,0,0.00,No,No
29190149,1532-8015,2018,Teaching and learning in medicine,Teach Learn Med,United States,1.052,1.000,1.248,Teacher Perspectives of Interdisciplinary Coteaching Relationships in a Clinical Skills Course: A Relational Coordination Theory Analysis.,United States,0,-,"coteaching, medical education, interdisciplinary teaching, relational coordination theory",Education & Educational Research; Health Care Sciences & Services,"Education, Scientific Disciplines; Health Care Sciences & Services",-,4,0,0.00,No,No
29184797,2223-4691,2017,Translational andrology and urology,Transl Androl Urol,China,,,,"Etiologic classification, evaluation, and management of hematospermia.",United States,,-,"semen, Hematospermia, ejaculatory dysfunction, accessory sex glands, genital diseases, hemospermia",,,-,8,0,0.00,No,No
29179635,1466-187X,2018,Medical teacher,Med Teach,England,2.502,2.027,2.981,The impact of informed self-assessment on the development of medical students' learning goals.,United States,0,-,-,Education & Educational Research; Health Care Sciences & Services,"Education, Scientific Disciplines; Health Care Sciences & Services",-,7,0,0.00,No,No
29178200,1935-9780,2017,Anatomical sciences education,Anat Sci Educ,United States,3.198,1.793,2.989,The interrupted learner: How distractions during live and video lectures influence learning outcomes.,United States,,-,"lecture videos, self-directed learning, undergraduate education, histology education, lecture attendance, medical education, interruptions, e-learning, technology, study behaviors",,,-,4,0,0.00,No,No
29174941,1527-9995,2018,Urology,Urology,United States,2.309,2.080,2.326,Is Delayed Phase Computed Tomography Imaging Necessary After Blunt Renal Trauma in Children?,,0,-,-,Urology & Nephrology,Urology & Nephrology,-,4,0,0.00,No,No
29169719,1531-6564,2018,The Journal of hand surgery,J Hand Surg Am,United States,1.606,1.355,1.890,Fracture Gap Reduction With Variable-Pitch Headless Screws.,United States,0,-,"Fracture gap, headless screw, bone fragments",Orthopedics; Surgery,Orthopedics; Surgery,-,3,0,0.00,No,No
29152215,2045-9912,2017,Medical gas research,Med Gas Res,India,,,,"Ozone therapy: an overview of pharmacodynamics, current research, and clinical utility.",United States,1,-,"autohemotherapy, ozone therapy, ozone, oxidative stress, ozone gas, oxidative preconditioning, reactive oxidative species, lipid ozonation products",Research & Experimental Medicine,"Medicine, Research & Experimental",-,5,0,0.00,No,No
29115149,1465-3419,2017,Ethnicity & health,Ethn Health,England,,,,"Low baseline awareness of gastric cancer risk factors amongst at-risk multiracial/ethnic populations in New York City: results of a targeted, culturally sensitive pilot gastric cancer community outreach program.",United States,,-,"Cancer outreach, gastric cancer risk, gastric cancer screening",,,-,8,0,0.00,No,No
29098915,1563-5279,2018,The International journal of neuroscience,Int. J. Neurosci.,England,1.750,1.664,1.617,Neuro-urological sequelae of lumbar spinal stenosis.,"(Grenada, United States)",0,-,"sexual dysfunction, Lumbar spinal stenosis, lower urinary tract symptoms, urodynamics, neurogenic bladder",Neurosciences & Neurology,Neurosciences,-,8,0,0.00,No,No
29079241,1542-2224,2017,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,J Foot Ankle Surg,United States,0.907,0.702,1.147,Ankle Fracture Associated With Rupture of the Achilles Tendon: Case Report and Review of the Literature.,United Kingdom,0,-,"AT rupture, ankle fracture, medial malleolus fracture, simultaneous, Achilles tendon rupture",Orthopedics; Surgery,Orthopedics; Surgery,-,3,0,0.00,No,No
29076825,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,Using a Modified A3 Lean Framework to Identify Ways to Increase Students' Reporting of Mistreatment Behaviors.,United States,,-,-,,,-,5,0,0.00,No,No
29065026,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,Study Behaviors and USMLE Step 1 Performance: Implications of a Student Self-Directed Parallel Curriculum.,United States,,-,-,,,"Test Taking Skills, Licensure, Medical, Students, Medical, Clinical Competence, Curriculum, Humans, Education, Medical, Undergraduate, Educational Measurement",3,0,0.00,No,No
29058510,1469-9567,2018,Journal of interprofessional care,J Interprof Care,England,2.205,1.301,2.546,Medical student perceptions of an initial collaborative immersion experience.,United States,0,-,"undergraduate education, Curricular innovation, interprofessional collaboration",Health Care Sciences & Services,Health Care Sciences & Services; Health Policy & Services,-,9,0,0.00,No,No
29055468,2211-0356,2017,Multiple sclerosis and related disorders,Mult Scler Relat Disord,Netherlands,2.349,2.136,2.134,Evaluation of lithium serum level in multiple sclerosis patients: A neuroprotective element.,Iran,0,-,"Nitric oxide, Lithium, Multiple sclerosis",Neurosciences & Neurology,Clinical Neurology,-,8,0,0.00,No,No
29028468,2376-6980,2017,AMA journal of ethics,AMA J Ethics,United States,,,,Lessons for Physicians from Flint's Water Crisis.,United States,,-,-,,,-,3,0,0.00,No,No
29026757,2249-4863,2017,Journal of family medicine and primary care,J Family Med Prim Care,India,,,,Socio-clinical profile of married women with history of induced abortion: A community-based cross-sectional study in a rural area.,"(India, United States)",,-,"gender discrimination, Abortion, medical termination of pregnancy",,,-,4,0,0.00,No,No
28954529,1465-3966,2018,"Psychology, health & medicine",Psychol Health Med,England,1.500,1.439,1.857,The impact of empathy on burnout in medical students: new findings.,United States,0,-,"Burnout, empathy, wellbeing, medical students","Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",-,5,0,0.00,No,No
28954241,1476-5586,2017,"Neoplasia (New York, N.Y.)",Neoplasia,United States,5.006,4.916,4.804,Targeting the Cohesive Cluster Phenotype in Chordoma via β1 Integrin Increases Ionizing Radiation Efficacy.,United States,0,"( NCI NIH HHS / United States ) , ( NHLBI NIH HHS / United States )",-,Oncology,Oncology,-,9,0,0.00,No,No
28951704,1642-395X,2017,Postepy dermatologii i alergologii,Postepy Dermatol Alergol,Poland,1.683,1.223,1.028,The role of serum tryptase in the diagnosis and monitoring of pediatric mastocytosis: a single-center experience.,Poland,0,-,"mastocytosis, children, diagnosis, serum tryptase",Allergy; Dermatology,Allergy; Dermatology,-,7,0,0.00,No,No
28943161,1532-821X,2018,Archives of physical medicine and rehabilitation,Arch Phys Med Rehabil,United States,3.289,3.029,3.293,Ultrasound-Guided Versus Landmark-Guided Local Corticosteroid Injection for Carpal Tunnel Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Iran,0,-,"Injections, Conservative treatment, Meta-analysis [publication type], Carpal tunnel syndrome, Review [publication type], Rehabilitation, Ultrasonography",Rehabilitation; Sport Sciences,Rehabilitation; Sport Sciences,-,8,0,0.00,No,No
28937366,0974-5130,2017,Indian journal of pathology & microbiology,Indian J Pathol Microbiol,India,0.616,0.603,0.748,Correlation between human epidermal growth factor receptor 2 oncoprotein expression and some prognostic factors in papillary thyroid carcinoma.,Iran,0,-,-,Pathology,Pathology,-,4,0,0.00,No,No
28893818,1544-1717,2017,Annals of family medicine,Ann Fam Med,United States,4.917,4.719,5.608,Health Care Disparities of Ohioans With Developmental Disabilities Across the Lifespan.,United States,1,( NCBDD CDC HHS / United States ),"health equity, transition, health care transition, minority populations, special needs, public health, intellectual disability, disability, adult health, disparity, aging adults, health care disparities, health parity, developmental delay, developmental disability, elderly health",General & Internal Medicine,"Primary Health Care; Medicine, General & Internal","(Healthcare Disparities/statistics & numerical data), Infant, Male, Adolescent, Middle Aged, Humans, (Disabled Persons/statistics & numerical data), Retrospective Studies, Developmental Disabilities, Infant, Newborn, Health Status Disparities, Young Adult, Cross-Sectional Studies, Female, Child, (Health Services Needs and Demand/statistics & numerical data), Ohio, Aged, Child, Preschool, Adult",4,0,0.00,No,No
28886529,1950-6007,2017,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,Biomed. Pharmacother.,France,2.759,2.578,2.534,Peroxisome proliferator-activated receptors as therapeutic targets for heart failure.,Egypt,2,-,"Therapy, PPAR, Cardiovascular disease, Heart failure",Research & Experimental Medicine; Pharmacology & Pharmacy,"Medicine, Research & Experimental; Pharmacology & Pharmacy",-,7,0,0.00,No,No
28842089,1542-2224,2017,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,J Foot Ankle Surg,United States,0.907,0.702,1.147,Experimental Comparison of the Clinical Measurement of Ankle Joint Dorsiflexion and Radiographic Tibiotalar Position.,,0,-,"ankle range of motion, equinus, tibiotalar joint, goniometer",Orthopedics; Surgery,Orthopedics; Surgery,-,8,0,0.00,No,No
28835847,2052-5648,2017,European journal for person centered healthcare,Eur J Pers Cent Healthc,England,,,,Patient perspectives of an individualized diabetes care management plan.,"(Georgia, United States)",,( NCI NIH HHS / United States ),"medical home, patient self-management support, person-centered healthcare, patient-centered outcomes research, Chronic care management, diabetes mellitus",,,-,11,0,0.00,No,No
28818160,1681-7168,2017,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Determination of Mean Glycated Haemoglobin in Healthy Adults of a Local Population.,,0,-,-,General & Internal Medicine,"Medicine, General & Internal","Sensitivity and Specificity, Male, (Diabetes Mellitus/blood/diagnosis), (Asian Continental Ancestry Group/statistics & numerical data), Middle Aged, (Blood Glucose/analysis), Humans, Adult, Female, (Fasting/blood), ROC Curve, Aged, (Glycated Hemoglobin A/analysis/standards), Cross-Sectional Studies",6,0,0.00,No,No
28799006,1590-3478,2017,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,Neurol. Sci.,Italy,1.749,1.687,1.580,Multiple sclerosis and environmental risk factors: a case-control study in Iran.,Iran,1,-,"Protective factors, Epidemiology, Multiple sclerosis, Iran, Risk factors",Neurosciences & Neurology,Clinical Neurology; Neurosciences,-,12,0,0.00,No,No
28794967,2213-0071,2017,Respiratory medicine case reports,Respir Med Case Rep,England,,,,Pleural effusion as a rare manifestation of mediastinal teratoma: A case report.,Iran,0,-,"Mediastinal mass, Mature teratoma, Pleural effusion, Dyspnea",Respiratory System,Respiratory System,-,5,0,0.00,No,No
28750090,1932-6203,2017,PloS one,PLoS ONE,United States,2.806,2.614,3.394,"Target specificity, in vivo pharmacokinetics, and efficacy of the putative STAT3 inhibitor LY5 in osteosarcoma, Ewing's sarcoma, and rhabdomyosarcoma.",United States,2,( NCI NIH HHS / United States ),-,Science & Technology - Other Topics,Multidisciplinary Sciences,"(Sulfonamides/pharmacokinetics/pharmacology/therapeutic use), Animals, Treatment Outcome, Xenograft Model Antitumor Assays, (Cell Proliferation/drug effects), Humans, (Rhabdomyosarcoma/drug therapy/pathology), Dogs, (STAT3 Transcription Factor/antagonists & inhibitors/metabolism), (Cytokines/pharmacology), (Osteosarcoma/drug therapy/pathology), Female, Mice, (Sarcoma, Ewing/drug therapy/pathology), (Lung Neoplasms/secondary), (Cell Survival/drug effects), (Phosphorylation/drug effects), (Aminopyridines/pharmacokinetics/pharmacology/therapeutic use), Cell Line, Tumor",17,0,0.00,No,No
28706615,2008-7802,2017,International journal of preventive medicine,Int J Prev Med,Iran,,,,Novel Effects of Traditional Wooden Toothbrush on Bowel Motility Symptoms in Spinal Cord Injury Patients; Findings from a Pilot Quasi-experimental Study.,Iran,0,-,"spinal cord injury, traditional wooden toothbrush, Constipation",General & Internal Medicine,"Medicine, General & Internal",-,8,0,0.00,No,No
28666509,1681-7168,2016,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Ophthalmological Features of Machado-Joseph Disease.,Canada,,-,-,,,"(Spinocerebellar Ataxias/pathology), (Neurodegenerative Diseases/pathology), Middle Aged, Humans, (Brain/diagnostic imaging), (Machado-Joseph Disease/pathology), Female",6,0,0.00,No,No
28649039,1873-6424,2017,"Environmental pollution (Barking, Essex : 1987)",Environ. Pollut.,England,5.099,4.447,5.552,PM,United States,0,"( NINR NIH HHS / United States ) , ( NIEHS NIH HHS / United States )","Heart failure, Particulate matter, In utero, Calcium signaling, Cardiovascular function, Myocyte, Adolescence",Environmental Sciences & Ecology,Environmental Sciences,"Animals, (Air Pollutants/toxicity), Pregnancy, (Calcium/metabolism), Female, (Maternal Exposure/adverse effects), (Particulate Matter/metabolism/toxicity), (Heart/drug effects/physiopathology), Male, Mice, Myocytes, Cardiac",6,0,0.00,No,No
28647434,1873-5126,2017,Parkinsonism & related disorders,Parkinsonism Relat. Disord.,England,4.484,4.136,4.380,Hyperechogenicity of substantia nigra for differential diagnosis of Parkinson's disease: A meta-analysis.,Iran,1,-,"Transcranial sonography, Atypical parkinsonian syndromes, Parkinson's disease, Essential tremor, Diagnostic accuracy",Neurosciences & Neurology,Clinical Neurology,-,7,0,0.00,No,No
28638422,1735-0344,2017,Tanaffos,Tanaffos,Iran,,,,Cognitive Impairment among Patients with Chronic Obstructive Pulmonary Disease Compared to Normal Individuals.,Iran,,-,"Smoking, Cognitive impairment, COPD, MMSE questionnaire",,,-,4,0,0.00,No,No
28631946,1557-9034,2017,Journal of laparoendoscopic & advanced surgical techniques. Part A,J Laparoendosc Adv Surg Tech A,United States,1.255,1.155,1.319,Stented Versus Stentless Laparoscopic Ureterolithotomy: A Systematic Review and Meta-Analysis.,Iran,0,-,"laparoscopic ureterolithotomy, Double J stent, ureteral stone",Surgery,Surgery,-,2,0,0.00,No,No
28619409,2214-9996,2017,Annals of global health,Ann Glob Health,United States,1.833,1.815,1.833,Student Reflection Papers on a Global Clinical Experience: A Qualitative Study.,Israel,0,-,"global health education, reflection papers, international health, medical student education, qualitative research","Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",-,7,0,0.00,No,No
28599693,1681-7168,2017,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Clinical Characteristics and Outcome of Budd-Chiari Syndrome at a Tertiary Care Hospital in Pakistan.,Pakistan,0,-,-,General & Internal Medicine,"Medicine, General & Internal","(Ascites/etiology), (Thrombophilia/complications/congenital/epidemiology), (Abdominal Pain/epidemiology/etiology), (Anticoagulants/administration & dosage), (Protein C Deficiency/complications/epidemiology), Humans, Tertiary Care Centers, Retrospective Studies, Young Adult, Adult, Female, Middle Aged, Male, (Budd-Chiari Syndrome/complications/diagnosis/mortality), (Hepatomegaly/epidemiology/etiology), (Pakistan/epidemiology)",3,0,0.00,No,No
28587603,1472-6920,2017,BMC medical education,BMC Med Educ,England,1.572,1.416,1.929,Vienna Summer School on Oncology: how to teach clinical decision making in a multidisciplinary environment.,Austria,,-,"Cancer education, Clinical decision making, Summerschool",,,-,6,0,0.00,No,No
28567072,1735-1995,2017,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,J Res Med Sci,India,1.237,1.133,1.133,"Hyperimmunoglobulin E syndrome: Genetics, immunopathogenesis, clinical findings, and treatment modalities.",Iran,1,-,"hyperimmunoglobulin E syndrome, ocular, omalizumab, eye, Autoimmune disease, Staphylococcus aureus, immunodeficiency",General & Internal Medicine,"Medicine, General & Internal",-,6,0,0.00,No,No
28553908,2376-6980,2017,AMA journal of ethics,AMA J Ethics,United States,,,,From Silence into Language: Questioning the Power of Physician Illness Narratives.,United States,,-,-,,,"Empathy, Physician-Patient Relations, Language, Humans, Writing, (Physicians/psychology), Narration",2,0,0.00,No,No
28553907,2376-6980,2017,AMA journal of ethics,AMA J Ethics,United States,,,,Should Clinicians Intervene If They Suspect That a Caregiver Whose Child Has Cancer Is at Risk of Psychological Harm?,United States,,-,-,,,"(Neoplasms/psychology/therapy), Humans, (Caregivers/psychology), Beneficence, (Parents/psychology), Physician's Role, (Stress, Psychological/psychology), Child, Social Justice, Attitude of Health Personnel",1,0,0.00,No,No
28551731,1573-6571,2017,Journal of religion and health,J Relig Health,United States,0.873,0.709,1.163,Perceptions of Chaplains' Value and Impact Within Hospital Care Teams.,United States,1,-,"Patient care, Patient satisfaction, Hospital chaplains, Medical education, Multidisciplinary teams","Public, Environmental & Occupational Health; Religion","Public, Environmental & Occupational Health; Religion","(Students, Medical/psychology), Southwestern United States, Humans, (Chaplaincy Service, Hospital/methods), Spirituality, Focus Groups, (Physicians/psychology), (Pastoral Care/methods), Attitude of Health Personnel, (Professional Role/psychology), (Clergy/psychology)",5,0,0.00,No,No
28551012,1879-0712,2017,European journal of pharmacology,Eur. J. Pharmacol.,Netherlands,2.896,2.773,2.730,Activation of CB,United States,2,-,"Microglia, MDA7, Cannabinoid receptor type 2 (CB(2)), Alzheimer's disease, Neurogenesis",Pharmacology & Pharmacy,Pharmacology & Pharmacy,-,5,0,0.00,No,No
28501933,1573-1677,2018,Advances in health sciences education : theory and practice,Adv Health Sci Educ Theory Pract,Netherlands,1.852,1.742,2.564,The influence of MCAT and GPA preadmission academic metrics on interview scores.,United States,0,-,"Admission process, uGPA, Interviewers, Holistic review, Predictive validity, MCAT scores",Education & Educational Research; Health Care Sciences & Services,"Education & Educational Research; Education, Scientific Disciplines; Health Care Sciences & Services",-,6,0,0.00,No,No
28487105,1878-0334,2017,Diabetes & metabolic syndrome,Diabetes Metab Syndr,Netherlands,,,,Is free triiodothyronine important in the development of insulin resistance in healthy people?,Peru,2,-,"Thyroxine, Thyroid hormones, Insulin resistance, Triiodothyronine, Adult",Endocrinology & Metabolism,Endocrinology & Metabolism,-,6,0,0.00,No,No
28486855,1556-9535,2018,Cutaneous and ocular toxicology,Cutan Ocul Toxicol,England,1.213,1.134,0.985,"The effects of smoking on corneal endothelial cells: a cross-sectional study on a population from Isfahan, Iran.",Iran,0,-,"Central corneal thickness, ocular surface, endothelial cells, specular microscopy, cigarette smoking",Ophthalmology; Toxicology,Ophthalmology; Toxicology,-,6,0,0.00,No,No
28463443,1746-1561,2017,The Journal of school health,J Sch Health,United States,1.749,1.446,2.212,Implementing a Nutrition and Physical Activity Curriculum in Head Start Through an Academic-Community Partnership.,United States,0,-,"childhood obesity, obesity, community health, organization and administration of school health programs, preschool","Education & Educational Research; Health Care Sciences & Services; Public, Environmental & Occupational Health","Education & Educational Research; Education, Scientific Disciplines; Health Care Sciences & Services; Public, Environmental & Occupational Health","Continental Population Groups, Community-Institutional Relations, (Health Promotion/organization & administration), Community-Based Participatory Research, Curriculum, (Early Intervention (Education)/organization & administration), Humans, Diet, (Schools, Medical/organization & administration), Health Behavior, Inservice Training, Cooperative Behavior, (Capacity Building/organization & administration), Exercise, (School Health Services/organization & administration)",6,0,0.00,No,No
28458709,1735-1995,2017,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,J Res Med Sci,India,1.237,1.133,1.133,Efficacy and safety of rituximab in neuromyelitis optica: Review of evidence.,Iran,1,-,"rituximab, neuromyelitis optica, CD20 antibody",General & Internal Medicine,"Medicine, General & Internal",-,7,0,0.00,No,No
28453316,0966-0461,2017,British journal of nursing (Mark Allen Publishing),Br J Nurs,England,,,,Peripheral intravenous cannulation: protecting patients and nurses.,,,-,"Needlestick injuries, Peripheral cannulation, Catheter-related bloodstream infections, Intravenous therapy",,,"Practice Guidelines as Topic, (Catheter-Related Infections/prevention & control), Humans, (Needlestick Injuries/prevention & control), (Bacteremia/prevention & control), Catheterization, Peripheral, (Administration, Intravenous/instrumentation), Vascular Access Devices",3,0,0.00,No,No
28449565,1738-1088,2017,Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,Clin Psychopharmacol Neurosci,Korea (South),2.000,1.760,Not Available,Effect of Oxcarbazepine on Serum Brain Derived Neurotrophic Factor in Bipolar Mania: An Exploratory Study.,India,0,-,"Brain-derived neurotrophic factor, Bipolar disorder, Young Mania Rating Scale, Oxcarbazepine",Neurosciences & Neurology; Pharmacology & Pharmacy,Neurosciences; Pharmacology & Pharmacy,-,6,0,0.00,No,No
28444317,1460-2229,2017,Family practice,Fam Pract,England,1.804,1.719,2.131,Undocumented and documented migrants with chronic diseases in Family Practice in the Netherlands.,Netherlands,1,-,"physicians, health care quality, general practitioners, health care evaluation, health care access, primary care, general practice, undocumented immigrants, chronic disease",General & Internal Medicine,"Primary Health Care; Medicine, General & Internal",-,2,0,0.00,No,No
28419012,1539-0667,2017,Journal of infusion nursing : the official publication of the Infusion Nurses Society,J Infus Nurs,United States,,,,A Novel Needle-Free Blood Draw Device for Sample Collection From Short Peripheral Catheters.,United States,1,-,-,Nursing,Nursing,"Phlebotomy, (Blood Specimen Collection/methods), Prospective Studies, Pain Measurement, Humans, (Clinical Laboratory Services/utilization), Needles, Adult, Female, Male, Healthy Volunteers, Catheterization, Peripheral",2,0,0.00,No,No
28413628,2047-0525,2017,"Perioperative medicine (London, England)",Perioper Med (Lond),England,,,,American Society for Enhanced Recovery (ASER) and Perioperative Quality Initiative (POQI) Joint Consensus Statement on Optimal Analgesia within an Enhanced Recovery Pathway for Colorectal Surgery: Part 2-From PACU to the Transition Home.,"(United Kingdom, United States)",8,-,"Enhanced recovery pathway, Post-discharge, Pain management, Postoperative, Quality, Outcomes, Multimodal, Non-opioid adjuncts, Colorectal surgery, Analgesia, Optimal analgesia",Surgery,Surgery,-,11,0,0.00,No,No
28362131,1466-187X,2017,Medical teacher,Med Teach,England,2.502,2.027,2.981,Reframing undergraduate medical education in global health: Rationale and key principles from the Bellagio Global Health Education Initiative.,United States,2,-,-,Education & Educational Research; Health Care Sciences & Services,"Education, Scientific Disciplines; Health Care Sciences & Services",-,19,0,0.00,No,No
28333788,1539-0721,2017,The Journal of nursing administration,J Nurs Adm,United States,1.386,1.119,1.839,Nursing Interruptions in a Trauma Intensive Care Unit: A Prospective Observational Study.,United States,0,-,-,Nursing,Nursing,"Prospective Studies, Humans, (Intensive Care Units/organization & administration), (Critical Care Nursing/standards), (Wounds and Injuries/nursing), Interrupted Time Series Analysis",7,0,0.00,No,No
28302232,1681-7168,2017,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Giant Ganglioneuroma in a 5-Year Child.,Pakistan,0,-,-,General & Internal Medicine,"Medicine, General & Internal","(Mediastinal Neoplasms/diagnosis/surgery), (Ganglioneuroma/diagnosis/surgery), Humans, Child, Preschool, Male",3,0,0.00,No,No
28286779,2314-6753,2017,Journal of diabetes research,J Diabetes Res,Egypt,,,,Adipokines: Potential Therapeutic Targets for Vascular Dysfunction in Type II Diabetes Mellitus and Obesity.,Egypt,,-,-,,,-,7,0,0.00,No,No
28283116,2214-9996,2016,Annals of global health,Ann Glob Health,United States,1.833,1.815,1.833,Bidirectional Exchanges of Medical Students Between Institutional Partners in Global Health Clinical Education Programs: Putting Ethical Principles into Practice.,,3,-,"capacity building, inter-institutional partnerships, global health education, ethics, global health clinical electives, bidirectional exchange","Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",-,3,0,0.00,No,No
28281837,1466-187X,2017,Medical teacher,Med Teach,England,2.502,2.027,2.981,"Competency milestones for medical students: Design, implementation, and analysis at one medical school.",United States,1,-,-,Education & Educational Research; Health Care Sciences & Services,"Education, Scientific Disciplines; Health Care Sciences & Services",-,8,0,0.00,No,No
28260962,1179-7258,2017,Advances in medical education and practice,Adv Med Educ Pract,New Zealand,,,,Searching for a written patient feedback instrument for patient-medical student consultations.,,0,-,"patient-centeredness, patient teaching associates, medical students, written feedback",General & Internal Medicine,"Medicine, General & Internal",-,6,0,0.00,No,No
28245975,1542-2224,2017,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,J Foot Ankle Surg,United States,0.907,0.702,1.147,Evaluation of Fixation Techniques for Metatarsocuneiform Arthrodesis.,United States,0,-,"metatarsocuneiform arthrodesis, Lapidus, fixation, arthrodesis, fusion, bunionectomy, tarsometatarsal arthrodesis",Orthopedics; Surgery,Orthopedics; Surgery,"Radiography, (Arthrodesis/adverse effects/methods), Postoperative Complications, Middle Aged, Bone Plates, Humans, Sex Factors, Retrospective Studies, Treatment Failure, (Hallux Valgus/diagnostic imaging/surgery), Female, Male, Bone Screws, Adult",5,0,0.00,No,No
