PMID,Journal ISSN,Publication Year,Journal Title,Journal ISO,Journal Country,Journal Impact Factor,Impact Factor Without Journal Self Cites,Five Year Impact Factor,Article Title,Paper Country,Times Cited,Grants,Keywords,WOS Research Areas,WOS Categories,Mesh Headings,Number of Authors,Number of Student Authors,Percentage of Students,Is 1st Author a Student?,Solely by students?
29304327,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,The Use of Computer-Aided Design and Manufacturing in Acute Mandibular Trauma Reconstruction.,,,-,-,,,-,5,2,40.00,No,No
29291388,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,How Do Le Fort-Type Fractures Present in a Pediatric Cohort?,,,-,-,,,-,6,1,16.67,No,No
29288649,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,Posterior Airway Changes Following Orthognathic Surgery in Obstructive Sleep Apnea.,Austria,,-,-,,,-,3,1,33.33,Yes,No
29288132,1878-5921,2018,Journal of clinical epidemiology,J Clin Epidemiol,United States,,,,Cochrane systematic reviews of interventions for risk factors correlate weakly with global risk factor burden: a cross-sectional study.,United Kingdom,,-,"Systematic review, Global Burden of Disease, Public health, Disease burden, Research prioritization, Risk factors",,,-,3,1,33.33,No,No
29287518,2295-3337,2017,Acta clinica Belgica,Acta Clin Belg,England,0.622,0.606,0.631,Anti-MDA5 positive dermatomyositis complicated with rapidly progressive interstitial lung disease - a case report.,Belgium,,-,"anti-MDA5, myositis specific antibodies, Dermatomyositis, interstitial lung disease",,,-,8,1,12.50,Yes,No
29284811,0253-7176,2017,Indian journal of psychological medicine,Indian J Psychol Med,India,,,,Caregiver Burden in Medical versus Psychiatric Patients: A Cross-sectional Comparative Study.,India,,-,"chronically medically ill, psychiatrically ill, caregiver, Caregiver's Burden scale, Burden",,,-,3,1,33.33,No,No
29282238,1943-3662,2017,The journal of the American Academy of Psychiatry and the Law,J. Am. Acad. Psychiatry Law,United States,1.212,1.058,1.341,Behavioral Addictions and Criminal Responsibility.,United States,0,-,-,Government & Law; Psychiatry,Law; Psychiatry,-,2,1,50.00,Yes,No
29267539,1806-9460,2018,Sao Paulo medical journal = Revista paulista de medicina,Sao Paulo Med J,Brazil,0.929,0.866,0.949,Prevalence of electrocardiographic abnormalities in primary care patients according to sex and age group. A retrospective observational study.,Brazil,0,-,-,General & Internal Medicine,"Medicine, General & Internal",-,4,1,25.00,Yes,No
29267534,1806-9460,2017,Sao Paulo medical journal = Revista paulista de medicina,Sao Paulo Med J,Brazil,0.929,0.866,0.949,Intracranial aneurysm and arachnoid cyst: just a coincidence? A case report.,Brazil,,-,-,,,-,6,1,16.67,No,No
29267517,1806-9460,2017,Sao Paulo medical journal = Revista paulista de medicina,Sao Paulo Med J,Brazil,0.929,0.866,0.949,What do Cochrane systematic reviews say about probiotics as preventive interventions?,Brazil,0,-,-,General & Internal Medicine,"Medicine, General & Internal",-,5,3,60.00,Yes,No
29267515,1806-9460,2017,Sao Paulo medical journal = Revista paulista de medicina,Sao Paulo Med J,Brazil,0.929,0.866,0.949,Prevalence of thyroid autoantibodies in patients with systematic autoimmune rheumatic diseases. Cross-sectional study.,Brazil,0,-,-,General & Internal Medicine,"Medicine, General & Internal",-,7,2,28.57,Yes,No
29267492,1806-9282,2017,Revista da Associacao Medica Brasileira (1992),Rev Assoc Med Bras (1992),Brazil,0.931,0.909,1.166,Oral corticosteroids for asthma exacerbations might be associated with adrenal suppression: Are physicians aware of that?,Brazil,0,-,-,General & Internal Medicine,"Medicine, General & Internal","Adolescent, (Adrenal Cortex Hormones/administration & dosage/adverse effects), Disease Progression, Time Factors, Child, Preschool, (Asthma/drug therapy/physiopathology), Reference Values, (Hydrocortisone/blood), Administration, Oral, Statistics, Nonparametric, Child, (Adrenal Insufficiency/chemically induced/physiopathology), Male, Luminescent Measurements, (Pituitary-Adrenal System/drug effects/physiopathology), Infant, Administration, Inhalation, Prospective Studies, (Hypothalamo-Hypophyseal System/drug effects/physiopathology), Humans, Female, Risk Factors",7,4,57.14,No,No
29267061,1541-0048,2018,American journal of public health,Am J Public Health,United States,3.858,3.662,4.877,"Increases in Acute Hepatitis C Virus Infection Related to a Growing Opioid Epidemic and Associated Injection Drug Use, United States, 2004 to 2014.",United States,,-,-,,,-,7,1,14.29,No,No
29261540,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,Looking Back to Move Forward: First-Year Medical Students' Meta-Reflections on their Narrative Portfolio Writings.,United States,,( NHLBI NIH HHS / United States ),-,,,-,10,2,20.00,No,No
29249326,1542-2224,2018,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,J Foot Ankle Surg,United States,0.907,0.702,1.147,Patient-Related Risk Factors for Periprosthetic Ankle Joint Infection: An Analysis of 6977 Total Ankle Arthroplasties.,United States,0,-,"total ankle arthroplasty, complication, periprosthetic joint infection, risk factors",Orthopedics; Surgery,Orthopedics; Surgery,-,4,1,25.00,Yes,No
29247157,1941-5923,2017,The American journal of case reports,Am J Case Rep,United States,,,,"A Case of Subacute Bioresorbable Vascular Scaffold Thrombosis, What was Wrong?",Saudi Arabia,0,-,-,General & Internal Medicine,"Medicine, General & Internal","(Stents/adverse effects), (Absorbable Implants/adverse effects), Humans, Percutaneous Coronary Intervention, Adult, (Non-ST Elevated Myocardial Infarction/etiology), Male, (Coronary Thrombosis/complications/etiology)",5,4,80.00,No,No
29245004,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,A Standardized Preoperative Group Intervention Is Feasible and Acceptable to Orthognathic Surgery Patients.,,,-,-,,,-,5,1,20.00,No,No
29240741,1175-8716,2017,The New Zealand medical journal,N. Z. Med. J.,New Zealand,,,,A retrospective audit of the characteristics and treatment outcomes in patients with diabetes-related charcot neuropathic osteoarthropathy.,,0,-,-,General & Internal Medicine,"Medicine, General & Internal","Databases, Factual, (Diabetes Mellitus, Type 2/complications), (Diabetes Mellitus, Type 1/complications), Cause of Death, Amputation, Middle Aged, Time Factors, Humans, Retrospective Studies, (Arthropathy, Neurogenic/etiology/mortality/physiopathology), Clinical Audit, Male, Adult, Female, (Foot/diagnostic imaging/pathology), Treatment Outcome, Magnetic Resonance Imaging, Aged, New Zealand",4,1,25.00,No,No
29240467,0966-0461,2017,British journal of nursing (Mark Allen Publishing),Br J Nurs,England,,,,Changing practice for hip arthroplasty and its implications.,"(India, United States)",,-,"Postoperative care, Joint replacement, Joint dislocation, Nerve injury, Pain relief, Surgery",,,"Orthopedic Nursing, (Postoperative Complications/etiology), Humans, (Arthroplasty, Replacement, Hip/adverse effects/methods), (Practice Patterns, Physicians'/trends)",3,1,33.33,Yes,No
29239902,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,"Oath Taking at U.S. and Canadian Medical School Ceremonies: Historical Perspectives, Current Practices, and Future Considerations.",United States,,-,-,,,-,3,2,66.67,No,No
29238502,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Profile of facial palsy in Arar, northern Saudi Arabia.",Saudi Arabia,,-,"Etiology, Saudi Arabia, Incidence, Risk factors, Facial palsy",,,-,11,8,72.73,No,No
29238495,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Assessment of life skills of medical students in Mashhad, Iran, in 2015.",Iran,,-,"Mental health, Critical thinking, Social skills, Justice, Smoking, Medical student",,,-,6,2,33.33,Yes,No
29238490,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Gastroesophageal reflux disease among population of Arar City, Northern Saudi Arabia.",Saudi Arabia,,-,"Arar, Saudi Arabia, Risk factor, GERD, Prevalence",,,-,14,9,64.29,No,No
29238484,2008-5842,2017,Electronic physician,Electron Physician,Iran,,,,"Pattern and factors associated with cardiovascular diseases among patients attending the cardiac center in Arar City, Northern Saudi Arabia.",Saudi Arabia,,-,"Pattern, Thyroid dysfunction, Cardiovascular diseases, Smoking",,,-,8,1,12.50,No,No
29238462,2008-3866,2017,Iranian journal of basic medical sciences,Iran J Basic Med Sci,Iran,1.424,1.317,1.381,Mechanisms of spinal cord injury regeneration in zebrafish: a systematic review.,Iran,,-,"Regeneration recovery-of function, Spinal cord regeneration, Spinal cord injuries, Zebrafish",,,-,5,2,40.00,Yes,No
29236657,1552-5775,2017,The Permanente journal,Perm J,United States,,,,Psoriasiform Hailey-Hailey Disease Presenting as Erythematous Psoriasiform Plaques Throughout the Body: A Case Report.,,,-,-,,,-,4,1,25.00,Yes,No
29231248,1365-4632,2018,International journal of dermatology,Int. J. Dermatol.,England,1.560,1.424,1.583,"SLURP-1 is mutated in Mal de Meleda, a potential molecular signature for melanoma and a putative squamous lineage tumor suppressor gene.",Lebanon,0,-,-,Dermatology,Dermatology,-,13,1,7.69,No,No
29229340,1878-8769,2018,World neurosurgery,World Neurosurg,United States,2.592,2.001,2.795,An Unusual Case of Ureteral Perforation in Minimally Invasive Pedicle Screw Instrumentation: Case Report and Review of the Literature.,Belgium,,-,"Ureteral injury, Complication, K-wire, Minimally invasive operation, Lumbar spine operation",,,-,5,1,20.00,No,No
29227793,1531-5053,2018,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,Bilateral Traumatic Caroticocavernous Fistulas: A Case Report and Review of the Literature.,United Kingdom,0,-,-,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",-,4,1,25.00,Yes,No
29226052,2168-8184,2017,Cureus,Cureus,United States,,,,Developing a Continuous Quality Improvement Assessment Using a Patient-Centered Approach in Optimizing Systemic Lupus Erythematosus Disease Control.,United States,,-,"systemic lupus erythematosus, autoimmunity, antinuclear antibodies, molecular mimicry, social media, autoantibodies",,,-,4,1,25.00,No,No
29215375,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,Pushing Critical Thinking Skills With Multiple-Choice Questions: Does Bloom's Taxonomy Work?,United States,,-,-,,,-,8,1,12.50,No,No
29213490,1980-5764,2017,Dementia & neuropsychologia,Dement Neuropsychol,Brazil,,,,Neuropathological findings in entorhinal cortex of subjects aged 50 years or older and their correlation with dementia in a sample from Southern Brazil.,,,-,"immunohistochemistry, anomalous protein deposits, IQCODE, entorhinal cortex, Alzheimer, dementia",,,-,6,3,50.00,Yes,No
29207715,2249-782X,2017,Journal of clinical and diagnostic research : JCDR,J Clin Diagn Res,India,,,,"A Correlative Study between Platelet Count, Mean Platelet Volume and Red Cell Distribution Width with the Disease Severity Index in Psoriasis Patients.",India,,-,"Haematological parameters, Psoriasis severity index, Induration, Autoimmune skin disease, Hyperkeratosis",,,-,4,1,25.00,No,No
29201581,2168-8184,2017,Cureus,Cureus,United States,,,,Contrast Enhancement of Aneurysm Sac Post-Pipeline Treatment Interpreted as Recanalization.,,,-,"pipeline embolization device, mra, cta, brain aneurysm, flow diversion",,,-,3,1,33.33,Yes,No
29201521,2149-3235,2017,Turkish journal of urology,Turk J Urol,Turkey,,,,Urinary matrix metalloproteinase 9 and tissue inhibitor of metalloproteinase 1 biomarkers for predicting renal scar in children with urinary tract infection.,Iran,,-,"pyelonephritis, tissue inhibitor of metalloproteinase 1, urinary tract infection, matrix metalloproteinase, Children, vesico-ureteral reflux",,,-,5,1,20.00,No,No
29197841,1757-790X,2017,BMJ case reports,BMJ Case Rep,England,,,,Haemorrhagic conversion of infectious myelitis in an immunocompromised patient.,United States,,-,"radiology (diagnostics), infection (neurology), infections, HIV / AIDS",,,-,5,2,40.00,Yes,No
29196595,1940-8250,2017,Critical care nurse,Crit Care Nurse,United States,1.608,1.455,2.149,Identifying Information Resources for Patients in the Intensive Care Unit and Their Families.,"(Israel, United States)",,-,-,,,-,9,1,11.11,No,No
29190837,2327-2228,2017,Rhode Island medical journal (2013),R I Med J (2013),United States,,,,"Menstrual hygiene plight of homeless women, a public health disgrace.",,,-,"tampon tax, menstrual hygiene, homeless women",,,"United States, (Hygiene/economics), (Menstrual Hygiene Products/economics), Humans, Taxes, Homeless Persons, (Public Health/economics/legislation & jurisprudence), (Health Policy/economics/legislation & jurisprudence), Female, (Health Services Accessibility/economics/legislation & jurisprudence)",2,1,50.00,Yes,No
29189057,1462-4753,2017,British journal of community nursing,Br J Community Nurs,England,,,,Experience of emotion in frail older people towards the end of life: A secondary data analysis.,United Kingdom,,-,"emotion, coping, end-of-life, older people, frailty, palliative",,,-,3,1,33.33,Yes,No
29189055,1462-4753,2017,British journal of community nursing,Br J Community Nurs,England,,,,Post-cataract eye drops can be avoided by depot steroid injections.,United Kingdom,,-,"community health nursing, cataract surgery, ophthalmic solutions, cataract",,,-,4,2,50.00,No,No
29182886,1942-6038,2018,NASN school nurse (Print),NASN Sch Nurse,United States,,,,School Nurses on the Front Lines of Medicine: Take a BREATH: The Approach to a Student With Respiratory Distress.,,,-,"respiratory distress, acute asthma, anaphylaxis",,,-,2,1,50.00,Yes,No
29181266,2160-200X,2017,American journal of cardiovascular disease,Am J Cardiovasc Dis,United States,,,,Gender differences in ST-elevation myocardial infarction (STEMI) time delays: experience of a public health service in Salvador-Brazil.,Brazil,0,-,"myocardial infarction, STEMI",Cardiovascular System & Cardiology,Cardiac & Cardiovascular Systems,-,6,2,33.33,No,No
29172890,1357-6321,2017,International journal of palliative nursing,Int J Palliat Nurs,England,,,,Challenges to advance care planning among multidisciplinary health professionals in China.,United States,,-,"Chinese culture, Advance care planning, Health professionals, Palliative care",,,-,4,1,25.00,No,No
29171577,0030-9982,2017,JPMA. The Journal of the Pakistan Medical Association,J Pak Med Assoc,Pakistan,0.616,0.553,0.657,A case of Vogt Koyanagi Harada disease in a 16 year old girl.,,0,-," VKH, Painless loss of vision, OCT & Steroids.
",General & Internal Medicine; Research & Experimental Medicine,"Medicine, General & Internal; Medicine, Research & Experimental",-,4,2,50.00,No,No
29171566,0030-9982,2017,JPMA. The Journal of the Pakistan Medical Association,J Pak Med Assoc,Pakistan,0.616,0.553,0.657,Knowledge and practices of critical care health professionals related to ventilator associated pneumonia in tertiary care hospitals of Islamabad and Rawalpindi.,,0,-,"Doctors, Knowledge, Nurses, Pneumonia, Practices, Ventilator. ",General & Internal Medicine; Research & Experimental Medicine,"Medicine, General & Internal; Medicine, Research & Experimental",-,8,5,62.50,No,No
29164264,1533-9866,2017,Obstetrical & gynecological survey,Obstet Gynecol Surv,United States,1.565,1.536,2.573,Risks and Benefits of Salpingectomy at the Time of Sterilization.,United States,0,-,-,Obstetrics & Gynecology,Obstetrics & Gynecology,-,4,1,25.00,No,No
29159007,2168-8184,2017,Cureus,Cureus,United States,,,,Acute Brachial Artery Occlusion in an Elderly Patient With Acute Myocardial Ischemia.,,,-,"arterial occlusion upper extremity, hand ischemia, arrhythmia, brachial artery embolism",,,-,9,1,11.11,No,No
29156176,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,Management of Patients With Left Ventricular Assist Devices Requiring Teeth Extraction: Is Halting Anticoagulation Appropriate?,,,-,-,,,-,9,1,11.11,Yes,No
29152424,2168-8184,2017,Cureus,Cureus,United States,,,,Acquired Acrodermatitis Enteropathica: A Case Study.,United States,,-,"dermatitis, zinc-deficiency, rash, acquired acrodermatitis enteropathica",,,-,5,1,20.00,Yes,No
29152421,2168-8184,2017,Cureus,Cureus,United States,,,,Severe Acute Respiratory Distress Syndrome after Laparoscopic Appendectomy in a Young Adult.,,,-,"mechanical ventilation, intensive care unit(icu), sepsis, acute respiratory distress syndrome (ards), appendicitis, systemic inflammatory response syndrome (sirs)",,,-,6,1,16.67,No,No
29152001,1874-3250,2017,The open orthopaedics journal,Open Orthop J,Netherlands,,,,Total Knee Arthroplasty In Patients With Parkinson's Disease- A Critical Analysis of Available Evidence.,India,,-,"Physical therapy, Parkinson’s Disease, Hoehn yahr, Flexion contracture, Columbia classification, Total knee arthroplasty",,,-,5,1,20.00,No,No
29151999,1874-3250,2017,The open orthopaedics journal,Open Orthop J,Netherlands,,,,"Mid-Term Outcomes After Open Reduction Internal Fixation of Proximal Interphalangeal Joint Dorsal Fracture-Dislocations Through a Volar, Shotgun Approach and a Review of the Literature.",United States,,-,"Proximal Interphalangeal (PIP) Fracture, Shotgun Volar Approach, PIP dislocation, Review of Treatment Options, Long term outcome, Open reduction internal fixation",,,-,4,1,25.00,No,No
29142542,1682-024X,2017,Pakistan journal of medical sciences,Pak J Med Sci,Pakistan,0.696,0.648,0.554,"Predictors and correlations of emotional intelligence among medical students at King Abdulaziz University, Jeddah.","(Egypt, Saudi Arabia)",0,-,"Perceived-stress, Leadership, Emotional intelligence, Predictors, Self-efficacy",General & Internal Medicine,"Medicine, General & Internal",-,6,5,83.33,No,No
29137577,0310-057X,2017,Anaesthesia and intensive care,Anaesth Intensive Care,Australia,1.695,1.327,1.795,Postoperative troponin measurement as a screening tool for adverse cardiac events in adult patients undergoing moderate or major non-cardiac surgery.,,0,-,"troponin, postoperative complications, cardiovascular diseases, perioperative medicine",Anesthesiology; General & Internal Medicine,Anesthesiology; Critical Care Medicine,"Male, (Cardiovascular Diseases/diagnosis), False Positive Reactions, Middle Aged, Humans, Aged, 80 and over, Female, (Postoperative Complications/blood), Aged, Retrospective Studies, (Troponin T/blood)",2,1,50.00,Yes,No
29137576,0310-057X,2017,Anaesthesia and intensive care,Anaesth Intensive Care,Australia,1.695,1.327,1.795,Perioperative assessment of older surgical patients using a frailty index-feasibility and association with adverse post-operative outcomes.,,0,-,"Frail elderly, Frailty Index, surgery, postoperative complications",Anesthesiology; General & Internal Medicine,Anesthesiology; Critical Care Medicine,"Male, Prospective Studies, Postoperative Complications, Humans, Geriatric Assessment, Aged, 80 and over, Female, Frailty, Aged, Perioperative Care",9,2,22.22,No,No
29132483,1681-7168,2017,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Glanular Hypospadias Management with Modified Circumcision and Firlit Procedure.,Pakistan,0,-,-,General & Internal Medicine,"Medicine, General & Internal",-,7,3,42.86,No,No
29132478,1681-7168,2017,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,J Coll Physicians Surg Pak,Pakistan,0.372,0.350,0.488,Treatment for Symptomatic Bacterial Vaginosis: ARandomized Controlled Trial.,,0,-,-,General & Internal Medicine,"Medicine, General & Internal",-,5,1,20.00,No,No
29132452,1710-2774,2017,"Healthcare quarterly (Toronto, Ont.)",Healthc Q,Canada,,,,"Improving Care Experiences, Efficiencies and Quality of Care for Seniors in Alberta.",,,-,-,,,-,4,1,25.00,No,No
29129315,1542-2224,2018,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons,J Foot Ankle Surg,United States,0.907,0.702,1.147,Fixation Methods for Calcaneus Fractures: A Systematic Review of Biomechanical Studies Using Cadaver Specimens.,Netherlands,0,-,"postmortem, internal fixation, calcaneus fracture, biomechanical",Orthopedics; Surgery,Orthopedics; Surgery,-,5,1,20.00,No,No
29125932,1531-5053,2017,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J. Oral Maxillofac. Surg.,United States,1.916,1.677,1.873,Pathogenesis of Cleft Palate in Robin Sequence: Observations From Prenatal Magnetic Resonance Imaging.,,,-,-,,,-,6,1,16.67,No,No
29123444,1308-8734,2017,The Eurasian journal of medicine,Eurasian J Med,Turkey,,,,"Imaging Findings of the Unusual Presentations, Associations and Clinical Mimics of Acute Appendicitis.",Turkey,0,-,"Abdomen, mimics, diagnosis, acute appendicitis, magnetic resonance imaging, computed tomography",General & Internal Medicine,"Medicine, General & Internal",-,7,1,14.29,No,No
29116981,1938-808X,2017,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,United States,5.255,4.453,4.901,The Hidden Curricula of Medical Education: A Scoping Review.,"(South Africa, United States)",,( FIC NIH HHS / United States ),-,,,-,6,1,16.67,Yes,No
